Asset_ID,Device_Type,Asset_Make,Model_Details,Purchase Date,Maintanence Period,Maintanence Date(Last),Crticality
PC_101,Personal Computer,HP,ELITE DESK 800 G1 SFF,09-11-2015,6 months,15-01-2026,High
PC_102,Personal Computer,HP,ELITE DESK 800 G2 SFF,02-05-2016,6 months,22-12-2025,High
PC_103,Personal Computer,HP,ELITE DESK 800 G2 SFF,02-06-2016,6 months,08-02-2026,High
PC_104,Personal Computer,HP,ELITE DESK 800 G2 SFF,01-09-2016,6 months,30-11-2025,High
PC_105,Personal Computer,DELL,DELL OPTIPLEX 9020 MT,26-03-2014,6 months,17-01-2026,High
PC_106,Personal Computer,ACER,VERITON M6650G,14-06-2018,12 months,12-09-2025,Medium
PC_107,Personal Computer,ACER,Vertion Desktop M6650G,19-03-2018,12 months,25-10-2025,Medium
PC_108,Personal Computer,HP,Pro One G4,28-08-2019,12 months,05-01-2026,Medium
PC_109,Personal Computer,ACER,Veriton Desktop M6650G,11-03-2022,12 months,18-03-2026,Low
PC_110,Personal Computer,FOXTROT,IC/V/VX,25-09-2023,12 months,14-02-2026,Low
PC_111,Personal Computer,HP,ProOne 440 G9,24-07-2023,12 months,28-01-2026,Low
PC_112,Personal Computer,HP,HP PRO ONE 440 G9 AIO,30-04-2024,12 months,20-04-2026,Low
PC_113,Personal Computer,HP,Pro One 440 G9 AIO,30-04-2025,12 months,10-05-2026,Low
PC_114,Personal Computer,HP,Pro One 440 G9 AIO RCTO/I3,08-10-2025,12 months,15-05-2026,Low
LB101,Laser Printer,HP,PRO 1606DN,09-05-2016,3 months,18-01-2026,High
LB102,Laser Printer,HP,HP 1020PLUS,25-04-2016,3 months,05-02-2026,High
LB103,Laser Printer,SAMSUNG,M2876FD,18-10-2016,3 months,12-12-2025,High
LB104,Laser Printer,CANON,IMAGE CLASS MF244DW,31-08-2017,3 months,25-01-2026,High
LB105,Laser Printer,HP,Laserjet M1213nf MFP,30-11-2022,6 months,14-03-2026,Medium
LB106,Laser Printer,BROTHER PRINTER,DCP-B75DW IND,12-12-2022,6 months,28-02-2026,Medium
LB107,Laser Printer,HP,LaserJet Pro M304-M305,30-05-2023,6 months,10-04-2026,Medium
LB108,Laser Printer,BROTHER PRINTER,DCP-B7535DW IND,12-01-2025,6 months,20-05-2026,Low
LB109,Laser Printer,CWC,CWC M225 Laser Printer,27-02-2026,12 months,27-05-2026,Low
